scene_id,episodes,time_seconds,time_minutes,episodes_per_second
6HRFAUDqpTb,4014,84.0,1.4,47.79
8wJuSPJ9FXG,2201,92.3,1.54,23.85
92vYG1q49FY,3600,165.2,2.75,21.79
1S7LAXRdDqK,2614,220.0,3.67,11.88
2Pc8W48bu21,3531,222.0,3.7,15.91
1xGrZPxG1Hz,9043,247.9,4.13,36.48
9h5JJxM6E5S,2856,274.9,4.58,10.39
3XYAD64HpDr,9415,320.6,5.34,29.37
5biL7VEkByM,4745,468.4,7.81,10.13
5Kw4nGdqYtS,6404,497.6,8.29,12.87
77mMEyxhs44,8178,533.2,8.89,15.34
ACZZiU6BXLz,13140,599.6,9.99,21.91
6imZUJGRUq4,6547,1109.2,18.49,5.9
226REUyJh2K,3404,1116.7,18.61,3.05
8B43pG641ff,7139,1149.3,19.15,6.21
3CBBjsNkhqW,7845,1514.2,25.24,5.18
HeSYRw7eMtG,3311,76.5,1.27,43.28
GsQBY83r3hb,2235,126.0,2.1,17.74
GTV2Y73Sn5t,6192,268.3,4.47,23.08
ENiCjXWB6aQ,3060,290.2,4.84,10.54
FnDDfrBZPhh,4713,344.3,5.74,13.69
CthA7sQNTPK,10701,378.8,6.31,28.25
GPyDUnjwZQy,10034,472.8,7.88,21.22
DBBESbk4Y3k,10071,500.1,8.34,20.14
E1NrAhMoqvB,9877,523.5,8.72,18.87
CQWES1bawee,3822,601.5,10.03,6.35
DoSbsoo4EAg,17113,614.4,10.24,27.85
FRQ75PjD278,15899,669.0,11.15,23.77
DsEJeNPcZtE,7823,886.9,14.78,8.82
DNWbUAJYsPy,17456,1153.8,19.23,15.13
GGBvSFddQgs,11524,1725.4,28.76,6.68
DqJKU7YU7dA,13645,2105.2,35.09,6.48
MVVzj944atG,2713,66.9,1.11,40.55
PE6kVEtrxtj,1412,87.2,1.45,16.19
NtnvZSMK3en,3708,180.8,3.01,20.51
HkseAnWCgqk,2884,186.5,3.11,15.46
QN2dRqwd84J,4116,234.5,3.91,17.55
LVgQNuK8vtv,2983,254.7,4.25,11.71
QVAA6zecMHu,15210,502.7,8.38,30.26
NEVASPhcrxR,3909,504.8,8.41,7.74
NGyoyh91xXJ,11347,590.3,9.84,19.22
Jfyvj3xn2aJ,9892,595.9,9.93,16.6
NPHxDe6VeCc,7564,603.9,10.06,12.53
HxmXPBbFCkH,12751,921.0,15.35,13.84
RTV2n6fXB2w,19721,1170.6,19.51,16.85
KjZrPggnHm8,9488,1674.0,27.9,5.67
PPTLa8SkUfo,7226,1831.3,30.52,3.95
LcAd9dhvVwh,14557,2314.6,38.58,6.29
L5QEsaVqwrY,11028,2632.0,43.87,4.19
JNiWU5TZLtt,19656,5442.8,90.71,3.61
XYyR54sxe6b,1188,25.2,0.42,47.14
VSxVP19Cdyw,3539,131.9,2.2,26.83
XVSZJAtHKdi,2768,132.1,2.2,20.95
UuwwmrTsfBN,4962,229.1,3.82,21.66
TSJmdttd2GV,2248,232.8,3.88,9.66
Wo6kuutE9i7,3597,265.4,4.42,13.55
WhNyDTnd9g5,8712,366.4,6.11,23.78
W16Bm4ysK8v,7355,372.8,6.21,19.73
W9YAR9qcuvN,10574,474.5,7.91,22.28
YHmAkqgwe2p,18927,490.1,8.17,38.62
TYDavTf8oyy,11377,800.6,13.34,14.21
SgkmkWjjmDJ,7655,1014.7,16.91,7.54
RaYrxWt5pR1,17172,1041.2,17.35,16.49
URjpCob8MGw,15575,1110.9,18.52,14.02
VoVGtfYrpuQ,12438,1120.5,18.68,11.1
S7uMvxjBVZq,12119,1199.0,19.98,10.11
XiJhRLvpKpX,3254,3254.6,54.24,1.0
U3oQjwTuMX8,17501,3317.7,55.29,5.28
g8Xrdbe9fir,1065,26.0,0.43,40.96
ceJTwFNjqCt,1007,140.5,2.34,7.17
YmWinf3mhb5,15865,385.0,6.42,41.21
fK2vEV32Lag,14661,467.7,7.79,31.35
YY8rqV6L6rf,14050,536.1,8.94,26.21
ZNanfzgCdm3,14751,559.0,9.32,26.39
bHKTDQFJxTw,15972,602.8,10.05,26.5
dQrLTxHvLXU,13528,704.6,11.74,19.2
bdp1XNEdvmW,14250,737.4,12.29,19.32
bB6nKqfsb1z,15354,780.2,13.0,19.68
Z2DQddYp1fn,12586,783.8,13.06,16.06
YJDUB7hWg9h,9086,812.3,13.54,11.19
erXNfWVjqZ8,13711,998.4,16.64,13.73
fRZhp6vWGw7,12372,1195.7,19.93,10.35
aRKASs4e8j1,10565,1288.4,21.47,8.2
fxbzYAGkrtm,14353,1906.1,31.77,7.53
gQgtJ9Stk5s,1367,108.5,1.81,12.6
iKFn6fzyRqs,1575,119.0,1.98,13.24
h6nwVLpAKQz,6981,141.7,2.36,49.27
iLDo95ZbDJq,3168,278.3,4.64,11.38
kJxT5qssH4H,15020,437.4,7.29,34.34
oEPjPNSPmzL,9319,455.2,7.59,20.47
gmuS7Wgsbrx,3512,523.8,8.73,6.7
nACV8wLu1u5,6453,806.6,13.44,8.0
hWDDQnSDMXb,6170,822.0,13.7,7.51
iePHCSf119p,3203,1184.4,19.74,2.7
gjhYih4upQ9,12042,1245.0,20.75,9.67
ixTj1aTMup2,11237,1394.0,23.23,8.06
nGhNxKrgBPb,15963,1983.1,33.05,8.05
j6fHrce9pHR,9014,2232.6,37.21,4.04
mt9H8KcxRKD,10094,6019.2,100.32,1.68
wPLokgvCnuk,1602,36.2,0.6,44.25
qz3829g1Lzf,3600,92.9,1.55,38.75
oahi4u45xMf,2403,183.0,3.05,13.13
u9rPN5cHWBg,1740,223.6,3.73,7.78
qgZhhx1MpTi,13227,402.7,6.71,32.85
ooq3SnvC79d,16339,590.3,9.84,27.68
vDfkYo5VqEQ,8708,602.3,10.04,14.46
w8GiikYuFRk,6605,685.5,11.43,9.64
wsAYBFtQaL7,6231,731.4,12.19,8.52
oStKKWkQ1id,15141,748.9,12.48,20.22
sX9xad6ULKc,9226,753.9,12.56,12.24
xAHnY3QzFUN,18660,1215.5,20.26,15.35
v7DzfFFEpsD,12863,1422.8,23.71,9.04
qk9eeNeR4vw,13607,1539.4,25.66,8.84
xWvSkKiWQpC,12896,2207.7,36.79,5.84
yHLr6bvWsVm,8921,223.1,3.72,39.99
yX5efd48dLf,16172,1066.2,17.77,15.17
xgLmjqzoAzF,11727,1082.5,18.04,10.83
zUG6FL9TYeR,18645,1492.7,24.88,12.49
